"resource_id","category_id"
"69026112","5556"
"38903944","5556"
"38903944","5557"
"68943226","5556"
"68289224","5556"
"38904863","5556"
"38903803","5556"
"51432403","5556"
"51432403","5628"
"38904931","5556"
"38904931","5557"
"38907242","5556"
"68869698","5556"
"68751921","5556"
"68832155","5556"
"38906665","5556"
"38906668","5556"
"38903837","5556"
"38903837","5557"
"38907083","5556"
"69026270","5556"
"38904183","5556"
"38904183","5557"
"68751889","5556"
"47662551","5556"
"38903476","5556"
"38904193","5556"
"69027174","5556"
"69027234","5556"
"38904914","5556"
"38904003","5556"
"38904003","5557"
"54659218","5556"
"68288865","5556"
"68934035","5556"
"38905032","5557"
"38904270","5557"
"38903713","5557"
"38903713","5613"
"38903909","5557"
"69027159","5557"
"38904807","5557"
"38903616","5557"
"38903691","5557"
"38906821","5557"
"38904386","5557"
"38906345","5557"
"38905786","5567"
"38904415","5567"
"38903961","5567"
"38905053","5567"
"38905053","5658"
"38904653","5567"
"38904509","5567"
"38904509","5562"
"38904509","5563"
"38904509","5564"
"38904331","5567"
"38904331","5653"
"38904279","5567"
"38904786","5567"
"38904397","5567"
"38904268","5567"
"38904268","5578"
"38903877","5567"
"38903877","5571"
"38903877","5615"
"38903877","5617"
"38903877","5658"
"38904133","5567"
"38904133","5616"
"38904133","5650"
"38904133","5653"
"38904133","5656"
"38904133","5658"
"38904731","5567"
"38906298","5567"
"38906298","5656"
"38906298","5658"
"38905477","5567"
"38903661","5567"
"38903661","5570"
"38903661","5658"
"38906115","5567"
"38906115","5623"
"38907003","5567"
"38907003","5656"
"38904955","5567"
"38904955","5616"
"38904346","5567"
"38904346","5656"
"38905050","5567"
"38907283","5567"
"38904347","5567"
"38904347","5654"
"38904347","5656"
"38907103","5567"
"38906300","5567"
"38906300","5653"
"38906300","5656"
"38906300","5658"
"38904344","5567"
"38904344","5658"
"38905035","5567"
"38905035","6006"
"38905035","5600"
"38903915","5567"
"38903915","5656"
"38903915","5658"
"38905058","5567"
"38905058","5658"
"38905174","5567"
