38906592	37.868479	-122.298324	37.863769, -122.274686	37.80727, -122.27429	37.762734, -122.157057	37.865566, -122.284909	37.868479, -122.298324	
38906599	37.590567	-122.046064	37.590567, -122.046064					
38906601	37.526811	-121.964908	37.53427, -121.96023	37.54913, -121.97707	37.5584, -121.98197	37.526811, -121.964908		
38906602	37.863769	-122.274686	37.738816, -122.172403	37.806984, -122.286229	37.863769, -122.274686			
38906598								
38906595	37.681214	-121.751912	37.681214, -121.751912	37.685314, -121.894812	37.66162, -121.8742			
38904263			34.25783, -118.39439					
38907044	37.778403	-122.216989	37.77887, -122.22737	37.778403, -122.216989				
38905361	37.72608	-122.08038	37.72608, -122.08038					
38906530	37.835713	-122.263515	37.835713, -122.263515					
38903376	37.703439	-122.12448	37.703439, -122.12448					
38903661	37.526811	-121.964908	37.526811, -121.964908					
38905867	37.835713	-122.263515	37.835713, -122.263515					
38904123	37.80294	-122.20632	37.80294, -122.20632					
38903873	37.526811	-121.964908	37.526811, -121.964908					
38906817	37.635455	-122.102084	37.635455, -122.102084					
38906663	37.85737	-122.244855	37.85737, -122.244855	37.835713, -122.263515				
38903434	37.867417	-122.259661	37.867417, -122.259661					
38905413	37.681214	-121.751912	37.681214, -121.751912					
38907078	37.720538	-122.156804	37.720538, -122.156804					
38905051			37.72792, -122.202965					
38906733			37.835713, -122.263515					
38905183	37.685314	-121.894812	37.685314, -121.894812					
38907057	37.703439	-122.12448	37.703439, -122.12448					
38905928	37.4451	-122.16036	37.409911, -122.1604	37.4451, -122.16036				
38905835	37.762734	-122.157057	37.762734, -122.157057					
38898793	37.68403	-121.89928	37.671482, -121.883901	37.68403, -121.89928				
38905161	37.81018	-122.269073	37.81018, -122.269073					
38903877	37.755967	-122.188088	37.738816, -122.172403	37.755967, -122.188088				
67779019			37.84773, -122.27197	37.88023, -122.26936				
38905455	37.7416275	-122.2012802	37.755967, -122.188088	37.7416275, -122.2012802				
38904929	37.778403	-122.216989	37.77625, -122.22432	37.778403, -122.216989				
38898921	37.738388	-122.242241	37.778403, -122.216989	37.78469, -122.29918	37.738388, -122.242241			
38905791	37.868479	-122.298324	37.868479, -122.298324					
55924501			37.78083, -122.23106					
38904651	37.806984	-122.286229	37.806984, -122.286229					
38904707	37.674815	-122.081533	37.674815, -122.081533	37.526811, -121.964908	37.590567, -122.046064	37.703439, -122.12448		
38904341			37.778403, -122.216989					
38904342			37.79191, -122.24899					
38904147	37.762734	-122.157057	37.762734, -122.157057	37.633771, -122.061914	37.526811, -121.964908	37.835713, -122.263515		
38904812			37.78469, -122.29918	37.778403, -122.216989				
38904277	37.671482	-121.883901	37.671482, -121.883901					
38905043	37.526811	-121.964908	37.526811, -121.964908					
38906730			37.688724, -122.150578					
38905821	37.526811	-121.964908	37.526811, -121.964908					
38904967	37.867417	-122.259661	37.867417, -122.259661					
38904112	37.824444	-122.230556	37.824444, -122.230556					
38904878	37.80928	-122.29923	37.80928, -122.29923					
38906891	37.729225	-121.691025	37.729225, -121.691025					
38904855			37.5562, -122.01457					
38903924	37.8693	-122.268	37.8693, -122.268					
38904046	30.320233	-97.865683	30.320233, -97.865683					
38904305	37.791257	-122.400811	37.791257, -122.400811					
38907209	37.793068	-122.242902	37.793068, -122.242902					
38903580			37.63601, -122.10587					
38905159	37.81018	-122.269073	37.81018, -122.269073					
38904878	37.80928	-122.29923	37.80928, -122.29923					
38905233	37.81018	-122.269073	37.81018, -122.269073					
38906891	37.729225	-121.691025	37.729225, -121.691025					
38904855			37.5562, -122.01457					
38904644	37.835713	-122.263515	37.835713, -122.263515					
38904524	37.806984	-122.286229	37.806984, -122.286229					
38904758	37.633771	-122.061914	37.806984, -122.286229	37.633771, -122.061914				
62313761			37.674815, -122.081533					
38904809								
38904325	37.918501	-122.025036	37.918501, -122.025036					
38905856	37.81018	-122.269073	37.81018, -122.269073					
38905099	37.720538	-122.156804	37.720538, -122.156804					
38904726	37.806984	-122.286229	37.79939, -122.27918	37.806984, -122.286229				
38904257	37.633771	-122.061914	37.76931, -122.25989	37.633771, -122.061914				
38906746			37.76931, -122.25989					
68094744			37.76931, -122.25989					
38903924	37.8693	-122.268	37.8693, -122.268					
38907270			37.526811, -121.964908					
38905023			37.818366, -122.235131					
38906691			37.763607, -122.258202	37.762734, -122.157057				
38905332	37.635455	-122.102084	37.635455, -122.102084					
61912883			37.67071, -122.08971					
38905421	37.80294	-122.20632	37.80294, -122.20632					
38905234	37.81018	-122.269073	37.81018, -122.269073					
38907269			37.793068, -122.242902					
38906615	37.835713	-122.263515	37.835713, -122.263515					
38903947			37.85737, -122.244855					
38904046	30.320233	-97.865683	30.320233, -97.865683					
38904062	41.259569	-96.12939	41.259569, -96.12939					
38905910			38.9031, -77.03972					
38905701	41.940214	-87.656407	41.940214, -87.656407					
38904442			33.56756, -117.81597					
38905425	37.80294	-122.20632	37.7992, -122.20802	37.80294, -122.20632				
38903910	37.762734	-122.157057	37.703439, -122.12448	37.762734, -122.157057				
38904311	37.81018	-122.269073	37.81018, -122.269073					
38904305	37.791257	-122.400811	37.791257, -122.400811					
38906240			37.738816, -122.172403	37.835713, -122.263515	37.778403, -122.216989			
58632478								
38907209	37.793068	-122.242902	37.793068, -122.242902					
38903580			37.63601, -122.10587					
38905159	37.81018	-122.269073	37.81018, -122.269073					
38905541	37.918501	-122.025036	37.918501, -122.025036					
38905534			37.81018, -122.269073					
38905834			0, -90					
38905282	37.703439	-122.12448	37.703439, -122.12448					
38905167	37.703439	-122.12448	37.703439, -122.12448					
38905410	37.590567	-122.046064	37.590567, -122.046064					
38903624	37.633771	-122.061914	37.65746, -122.09699	37.633771, -122.061914				
38904179			37.526811, -121.964908					
38904481	38.571652	-121.465873	38.571652, -121.465873					
38904809								
38904325	37.918501	-122.025036	37.918501, -122.025036					
38905099	37.720538	-122.156804	37.720538, -122.156804					
38904726	37.806984	-122.286229	37.79939, -122.27918	37.806984, -122.286229				
38905541	37.918501	-122.025036	37.918501, -122.025036					
38904644	37.835713	-122.263515	37.835713, -122.263515					
68094744			37.76931, -122.25989					
38904062	41.259569	-96.12939	41.259569, -96.12939					
38904442			33.56756, -117.81597					
38905834			0, -90					
61912883			37.67071, -122.08971					
38905910			38.9031, -77.03972					
38903580			37.63601, -122.10587					
38905534			37.81018, -122.269073					
38905233	37.81018	-122.269073	37.81018, -122.269073					
38903902			37.762734, -122.157057					
38904524	37.806984	-122.286229	37.806984, -122.286229					
38903860			37.92523, -122.02324					
38906329	37.526811	-121.964908	37.526811, -121.964908					
38906135			37.54658, -121.97964					
38903989			37.720538, -122.156804					
38904004	37.863769	-122.274686	37.863769, -122.274686					
38904895	37.755967	-122.188088	37.755967, -122.188088					
38904297	37.720538	-122.156804	37.720538, -122.156804					
38903664			37.77908, -122.22542					
38904077	37.762734	-122.157057	37.762734, -122.157057					
38904298			37.755967, -122.188088					
38903935	37.526811	-121.964908	37.526811, -121.964908					
38906290			37.87493, -122.26294					
38904238	37.81018	-122.269073	37.81018, -122.269073					
38904268	37.762734	-122.157057	37.762734, -122.157057					
38905034	37.738816	-122.172403	37.738816, -122.172403					
38905071			37.87493, -122.26294					
38903471	37.867417	-122.259661	37.867417, -122.259661					
38903473	37.863769	-122.274686	37.863769, -122.274686					
38903947			37.85737, -122.244855					
38905291	37.81018	-122.269073	37.81018, -122.269073					
38905425	37.80294	-122.20632	37.7992, -122.20802	37.80294, -122.20632				
38903910	37.762734	-122.157057	37.703439, -122.12448	37.762734, -122.157057				
38904274	37.81018	-122.269073	37.81018, -122.269073	37.590567, -122.046064	37.685314, -121.894812			
38904827	37.633771	-122.061914	37.818366, -122.235131	37.633771, -122.061914				
41801513			37.871, -122.27209					
